822 81 -381.629759
1019 62 -686.819649
111 75 679.119687
439 3 110.240804
1911 28 -231.802247
110 50 877.912352
392 43 -8.434224
657 15 582.658377
814 3 -491.725686
895 16 51.975193
648 40 -760.540349
261 70 261.344185
617 41 -620.062297
99 40 281.069043
1941 44 846.392321
1190 88 870.474934
571 34 328.699808
993 52 346.125686
1096 69 357.312859
642 3 217.890337
505 53 -649.871069
1281 31 191.835846
27 7 -91.652383
225 23 -795.893843
1741 50 40.143525
1458 45 -212.262381
1788 68 976.116870
1229 75 672.135800
146 95 -903.266714
477 47 708.452546
1142 41 -739.772843
1296 18 629.495608
1649 75 -225.952893
117 39 385.460773
590 48 -403.676138
1345 64 -27.960956
677 17 -6.830971
94 99 -440.353508
98 53 -131.375113
48 23 368.539958
1199 8 -10.561805
1268 44 -164.465958
956 62 709.975309
1691 80 920.560941
1539 84 940.832384
1824 47 -598.712896
1208 58 885.145189
927 41 691.448651
1349 38 -466.074141
967 39 -153.792220
1019 49 -384.051634
1170 84 252.644343
1533 91 969.562967
1371 37 -693.288787
1919 89 -642.342919
834 87 391.284059
430 84 153.597072
1283 46 218.110598
603 68 -671.235624
1962 32 -796.794794
17 94 457.075147
683 26 -514.909443
1741 38 -354.916234
775 75 -288.966937
1242 23 804.428822
644 63 730.390115
1921 43 -842.062535
937 34 960.645772
963 17 182.075732
1928 6 317.863661
512 96 -269.837953
895 46 867.650085
1126 27 750.172719
584 1 568.299312
480 87 -474.401309
931 18 -732.383618
194 96 -317.340581
1269 30 -739.615914
955 36 -764.940645
1967 41 535.103798
579 34 365.209985
1576 19 -357.963339
474 32 -282.893548
669 60 -386.063229
1163 96 -733.641809
316 21 -234.365227
1669 50 -409.688088
654 0 593.221690
54 54 -217.996498
1986 53 -215.308772
1829 19 -31.288962
1731 22 397.240098
683 80 619.834504
722 36 -926.439456
107 99 -818.392435
735 49 -643.231846
751 59 177.382226
1192 4 465.212385
50 26 -142.761386
145 26 190.958228
552 53 -694.322046
857 15 375.848406
737 25 -216.849359
1668 43 252.653831
663 14 159.292638
363 58 -227.288024
1102 24 -179.261053
142 17 -239.123820
428 30 -209.659298
1341 2 -562.590994
1570 5 -202.541433
1760 1 -543.323638
1010 54 280.105425
175 5 274.155411
1966 63 116.833844
1456 35 -944.378802
123 80 -623.041956
96 55 954.358678
862 34 -767.151227
831 46 994.230495
719 29 556.193533
566 81 240.780312
1841 78 511.409079
1161 76 417.578122
1845 33 -928.951734
1067 43 525.131426
1132 70 493.640771
842 18 413.921026
135 94 626.742319
145 2 736.460540
1365 97 903.996537
349 4 -884.358037
1749 89 25.493508
1555 81 -606.219452
1370 22 -101.289235
1940 99 -282.893712
243 24 617.360879
423 88 -747.818632
792 27 58.612856
1112 59 3.817510
1776 28 -901.019342
475 37 -654.186600
1437 37 -490.509168
1422 22 -397.252868
233 44 -693.367379
946 46 164.843863
1858 38 -141.942878
710 8 970.354341
949 8 -735.309964
347 18 943.693086
334 48 -476.184562
1844 21 -532.030407
549 2 -98.578080
1796 47 -6.558750
1164 85 -4.631412
1213 38 913.173036
556 46 727.194305
489 48 -281.355689
217 8 -401.100801
1452 74 581.047777
553 24 -385.628354
1385 60 887.380500
192 61 388.020720
1268 53 727.946134
1851 16 967.476015
590 48 573.051193
856 14 -747.903158
1870 20 313.608878
48 5 -165.782908
86 46 -528.275710
1895 28 876.652956
1298 67 403.928536
514 93 -479.152245
421 63 844.318908
84 76 -271.160542
648 67 791.876110
895 94 270.328367
1855 5 -663.346041
751 71 355.919328
859 20 -911.166417
16 44 -842.087464
804 46 851.573635
150 61 -537.758949
382 13 -126.211793
440 33 780.338835
1777 93 -734.334913
1596 5 -737.388207
410 91 835.173989
493 96 660.355241
1472 32 -700.945425
963 91 -37.678075
953 68 148.458464
1655 62 555.666188
15 5 339.660809
1527 77 -158.835263
1373 55 434.353378
1949 72 267.369904
275 45 -902.930170
175 67 -561.294860
1574 69 -136.101904
1478 59 745.775208
606 2 944.030452
669 81 -422.098921
495 72 337.148215
1093 44 877.490142
172 54 -237.689861
737 58 777.046444
927 71 -916.376018
1987 61 -862.380705
1572 96 -337.779508
577 30 -121.086972
1198 79 720.464166
829 46 435.707448
713 99 735.811268
355 99 -916.916556
209 20 620.421393
943 85 -332.343797
1194 61 747.138497
794 56 71.536780
621 14 946.540768
1390 19 -192.443812
1020 54 -223.334547
1254 65 609.945494
784 83 546.968906
1328 91 599.179499
135 41 380.226370
1460 17 921.983673
1830 68 -167.542141
1472 91 -214.283254
946 18 -652.471372
479 83 -562.789230
269 96 780.243479
692 16 -867.520168
1024 84 -925.760996
541 23 -562.967086
677 93 -89.595972
1098 47 232.154202
392 47 -755.123276
1662 94 306.554643
1476 2 -731.995939
1329 39 -714.152573
772 6 354.029383
967 78 362.990181
886 69 -900.201832
1491 81 900.397648
1809 56 975.188330
256 32 880.890555
361 81 424.244361
703 20 -403.273393
1297 55 104.322941
1342 19 -791.632413
1923 94 -571.533905
1559 56 989.435599
638 12 880.697479
823 38 321.745111
1996 18 493.181318
1989 65 886.508539
464 82 -533.760425
1311 25 -377.576546
1712 40 195.401024
553 36 -414.244077
432 14 854.545475
